"Species","Pres","Year","Site","Dataset"
"Rhinoptera neglecta",1,"2017","Shelly Beach","iNat"
"Pempheris compressa",1,"2017","Camp Cove","iNat"
"Mecaenichthys immaculatus",1,"2017","Shiprock","iNat"
"Meuschenia trachylepis",1,"2017","Bare Island","iNat"
"Pempheris multiradiata",1,"2017","Bare Island","iNat"
"Vincentia novaehollandiae",1,"2017","Clifton Gardens","iNat"
"Dendrochirus brachypterus",1,"2017","Clifton Gardens","iNat"
"Lactoria fornasini",1,"2017","Clifton Gardens","iNat"
"Parapercis stricticeps",1,"2017","Camp Cove","iNat"
"Heterodontus portusjacksoni",1,"2017","Camp Cove","iNat"
"Ptereleotris monoptera",1,"2017","Shelly Beach","iNat"
"Parapercis nebulosa",1,"2017","Shelly Beach","iNat"
"Idiotropiscis lumnitzeri",1,"2017","Bare Island","iNat"
"Pataecus fronto",1,"2017","Bare Island","iNat"
"Heteropriacanthus cruentatus ",1,"2017","Clifton Gardens","iNat"
"Festucalex cinctus",1,"2017","Clifton Gardens","iNat"
"Cristiceps argyropleura",1,"2017","Clifton Gardens","iNat"
"Aspasmogaster costata",1,"2017","Clifton Gardens","iNat"
"Cochleoceps orientalis",1,"2017","Bare Island","iNat"
"Canthigaster callisterna",1,"2017","Kurnell","iNat"
"Eocallionymus papilio",1,"2017","Clifton Gardens","iNat"
"Chaetodon flavirostris",1,"2017","Shiprock","iNat"
"Parma microlepis",1,"2017","Kurnell","iNat"
"Paraplesiops bleekeri",1,"2017","Bare Island","iNat"
"Plagiotremus tapeinosoma",1,"2017","Shelly Beach","iNat"
"Urolophus kapalensis",1,"2017","Bare Island","iNat"
"Gymnothorax prasinus",1,"2017","Shiprock","iNat"
"Antennarius striatus",1,"2017","Bare Island","iNat"
"Cirrhitichthys aprinus",1,"2017","Shelly Beach","iNat"
"Heterodontus portusjacksoni",1,"2017","Clifton Gardens","iNat"
"Soleichthys microcephalus",1,"2017","Clifton Gardens","iNat"
"Pseudorhombus arsius",1,"2017","Clifton Gardens","iNat"
"Bathytoshia brevicaudata",1,"2017","Clifton Gardens","iNat"
"Suezichthys arquatus",1,"2017","Bare Island","iNat"
"Monacanthus chinensis",1,"2017","Shelly Beach","iNat"
"Canthigaster callisterna",1,"2017","Shelly Beach","iNat"
"Atypichthys strigatus",1,"2017","Kurnell","iNat"
"Gerres subfasciatus",1,"2017","Shiprock","iNat"
"Pomacentrus coelestis",1,"2017","Shelly Beach","iNat"
"Heteroscarus acroptilus",1,"2017","Kurnell","iNat"
"Ostorhinchus limenus",1,"2017","Kurnell","iNat"
"Aplodactylus lophodon",1,"2017","Bare Island","iNat"
"Eupetrichthys angustipes",1,"2017","Kurnell","iNat"
"Mecaenichthys immaculatus",1,"2017","Kurnell","iNat"
"Upeneichthys lineatus",1,"2017","Kurnell","iNat"
"Parupeneus spilurus",1,"2017","Bare Island","iNat"
"Achoerodus viridis",1,"2018","Shelly Beach","iNat"
"Aplodactylus lophodon",1,"2018","Shelly Beach","iNat"
"Atypichthys strigatus",1,"2018","Shelly Beach","iNat"
"Canthigaster callisterna",1,"2018","Shelly Beach","iNat"
"Caranx sexfasciatus",1,"2018","Shelly Beach","iNat"
"Cheilodactylus fuscus",1,"2018","Shelly Beach","iNat"
"Cnidoglanis macrocephalus",1,"2018","Shelly Beach","iNat"
"Enoplosus armatus",1,"2018","Shelly Beach","iNat"
"Istigobius hoesei",1,"2018","Shelly Beach","iNat"
"Latropiscis purpurissatus",1,"2018","Shelly Beach","iNat"
"Meuschenia trachylepis",1,"2018","Shelly Beach","iNat"
"Monodactylus argenteus",1,"2018","Shelly Beach","iNat"
"Myxus elongatus",1,"2018","Shelly Beach","iNat"
"Notolabrus gymnogenis",1,"2018","Shelly Beach","iNat"
"Ophthalmolepis lineolata",1,"2018","Shelly Beach","iNat"
"Orectolobus halei",1,"2018","Shelly Beach","iNat"
"Ostorhinchus limenus",1,"2018","Shelly Beach","iNat"
"Parma microlepis",1,"2018","Shelly Beach","iNat"
"Parupeneus spilurus",1,"2018","Shelly Beach","iNat"
"Pomatomus saltatrix",1,"2018","Shelly Beach","iNat"
"Prionurus microlepidotus",1,"2018","Shelly Beach","iNat"
"Pseudocaranx georgianus",1,"2018","Shelly Beach","iNat"
"Rhabdosargus sarba",1,"2018","Shelly Beach","iNat"
"Schuettea scalaripinnis",1,"2018","Shelly Beach","iNat"
"Sillago ciliata",1,"2018","Shelly Beach","iNat"
"Sphyraena obtusata",1,"2018","Shelly Beach","iNat"
"Trygonoptera testacea",1,"2018","Shelly Beach","iNat"
"Upeneichthys lineatus",1,"2018","Shelly Beach","iNat"
"Dendrochirus brachypterus",1,"2018","Clifton Gardens","iNat"
"Pentapodus paradiseus",1,"2018","Clifton Gardens","iNat"
"Cirrhitichthys aprinus",1,"2018","Clifton Gardens","iNat"
